,tag,src,tgt,pred
313,1292,<RX_2>CCN1CCN(c2ccc(C(=O)NCCCCCCCCCCCCOS(C)(=O)=O)cn2)CC1,CCN1CCN(c2ccc(C(=O)[O-])cn2)CC1.CS(=O)(=O)OCCCCCCCCCCCCN,CCN1CCN(c2ccc(C(=O)NCCCCCCCCCCCCO)cn2)CC1.CS(=O)(=O)Cl
314,1304,<RX_4>CCCCCCCCc1ccc(C(=O)NCCn2cc(CCCCCc3cn(C(=O)OC(C)(C)C)c(N)n3)nn2)cc1,C#CCCCCCc1cn(C(=O)OC(C)(C)C)c(N)n1.CCCCCCCCc1ccc(C(=O)NCCN=[N+]=[N-])cc1,C#CCCCCCCC.CCCCCCCc1ccc(C(=O)NCCN=[N+]=[N-])cc1
315,1305,<RX_1>O=C1CC(c2ccccc2)Oc2ccc(Cl)cc21,O=C(C=Cc1ccccc1)c1cc(Cl)ccc1O,O=C(CC(O)c1ccccc1)c1cc(Cl)ccc1F
316,1318,<RX_7>CC[C@]12CCC3=C(CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O,CC[C@]12CCC3=C(CCc4cc(O)ccc43)C1=CC[C@@H]2O,CC[C@]12CCC3=C(CCc4cc(O)ccc43)[C@@H]1CCC2=O
317,1320,<RX_1>COC(=O)c1ccc(COc2ccc(Oc3cccc(-c4c(Cc5ccccc5)cnc5c(C(F)(F)F)cccc45)c3)cc2)cc1,COC(=O)c1ccc(CBr)cc1.Oc1ccc(Oc2cccc(-c3c(Cc4ccccc4)cnc4c(C(F)(F)F)cccc34)c2)cc1,COC(=O)c1ccc(CBr)cc1.Oc1cccc(-c2c(Cc3ccccc3)cnc3c(C(F)(F)F)cccc23)c1
318,1321,<RX_3>CC(=O)CCc1ccc(Cl)c(Cl)c1,CON(C)C(=O)CCc1ccc(Cl)c(Cl)c1,CC(=O)Cl.Clc1ccccc1Cl
319,1322,<RX_5>CC(C)(C)OC(=O)N[C@@H](C(=O)O)c1ccccc1,CC(C)(C)[C@H](N)C(=O)O.N[C@@H](C(=O)O)c1ccccc1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N[C@@H](C(=O)O)c1ccccc1
320,1328,<RX_7>Nc1ccc(I)cc1C1NC(=O)CC(c2cccc(Cl)c2)C12C(=O)Nc1cc(Cl)ccc12,O=C1CC(c2cccc(Cl)c2)C2(C(=O)Nc3cc(Cl)ccc32)C(c2cc(I)ccc2[N+](=O)[O-])N1,O=C1CC(c2cccc(Cl)c2)C2(C(=O)Nc3cc(Cl)ccc32)C(c2cccc(Cl)c2)N1
321,1337,<RX_2>O=C(Nc1ccc(F)nc1)N1CCN(c2ccnc(-c3cccc(F)c3F)n2)CC1,Fc1cccc(-c2nccc(N3CCNCC3)n2)c1F.O=C(Nc1ccc(F)nc1)OCC(Cl)(Cl)Cl,Fc1cccc(-c2nccc(N3CCNCC3)n2)c1F.O=C=Nc1ccc(F)nc1
322,1338,<RX_1>CC(=O)CCn1cnc2c1c(=O)n(CC1CC1)c(=O)n2CC1CCCCC1,BrCC1CCCCC1.CC(=O)CCn1cnc2[nH]c(=O)n(CC3CC3)c(=O)c21,CC(=O)CCn1cnc2c1c(=O)[nH]c(=O)n2CC1CC1.ClCC1CC1
323,1346,<RX_3>CSc1ncc2cc(C(=O)Cc3ccccc3Cl)n(-c3ccc(F)cc3)c2n1,CON(C)C(=O)c1cc2cnc(SC)nc2n1-c1ccc(F)cc1.Clc1ccccc1CBr,CSc1ncc2cc(C(=O)Cl)n(-c3ccc(F)cc3)c2n1.Clc1ccccc1C[Zn+]
324,1352,<RX_1>CCOC(=O)c1ccc(-c2ccc(CSCCOc3ccccc3)cc2)cc1,CCOC(=O)c1cccc(-c2ccc(CSCCOc3ccccc3)cc2)c1,CCOC(=O)c1ccc(-c2ccc(CBr)cc2)cc1.SCCOc1ccccc1
325,1356,<RX_1>COc1ccc(CCN2CCC[C@H]2C)c(F)c1,COc1ccc(CCOS(C)(=O)=O)c(F)c1.C[C@@H]1CCCN1,COc1ccc(CCO)c(F)c1.C[C@@H]1CCCN1
326,1361,<RX_4>CC(C)c1nnc2ccc(-c3sc(N4CCCCC4)nc3-c3ccc(F)cc3F)nn12,CC(C)c1nnc2ccc(C(Br)C(=O)c3ccc(F)cc3F)nn12.NC(=S)N1CCCCC1,CC(C)C(=O)C(Br)c1ccc(F)cc1F.NC(=S)N1CCCCC1
327,1367,<RX_1>NC(=O)Nc1cccc(OCCN(CCCCC(=O)NC2CCCCCC2)Cc2ccccc2)c1,NC(=O)Nc1cccc(O)c1.O=C(CCCCN(CCCl)Cc1ccccc1)NC1CCCCCC1,NC(=O)Nc1cccc(OCCNCCCCC(=O)NC2CCCCC2)c1.O=Cc1ccccc1
328,1368,<RX_1>CC(C)(C)[Si](C)(C)OCCNCc1cc(-c2ccc(C(F)(F)F)cc2)ccc1[N+](=O)[O-],CC(C)(C)[Si](C)(C)OCC=O.NCc1cc(-c2ccc(C(F)(F)F)cc2)ccc1[N+](=O)[O-],CC(C)(C)[Si](C)(C)OCCN.O=Cc1cc(-c2ccc(C(F)(F)F)cc2)ccc1[N+](=O)[O-]
329,1370,<RX_1>Nc1ccc(N2CCOCC2=O)cc1,Nc1ccc(I)cc1.O=C1COCCN1,Nc1ccc(NC(=O)CCl)cc1
330,1381,<RX_8>COc1cc(C)c(C(=O)c2c(Cl)c[n+]([O-])cc2OC)c(OC)c1OC,COc1cc(C)c(C(=O)c2c(Cl)cncc2OC)c(OC)c1OC.[OH-],COc1cc(C)c(C(=O)c2c(Cl)cncc2OC)c(OC)c1OC.O=C(OO)c1cccc(Cl)c1
331,1384,<RX_3>CC(=Cc1ccccc1)c1ccc2c(c1)C(C)(C)CCN2C,CC(c1ccc2c(c1)C(C)(C)CCN2C)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,CC(=O)c1ccc2c(c1)C(C)(C)CCN2C.CC(C)(C)[O-]
332,1389,<RX_2>CN(C(=O)OC(C)(C)C)[C@H](Cc1ccc(O)cc1)C(=O)Nc1cc2[nH]c(-c3ccccc3)c3cn[nH]c(=O)c(c1)c23,CN(C(=O)OC(C)(C)C)[C@H](Cc1ccc(O)cc1)C(=O)O.Nc1cc2[nH]c(-c3ccccc3)c3cn[nH]c(=O)c(c1)c23,CN(C(=O)OC(C)(C)C)[C@H](Cc1ccc(O)cc1)C(=O)O.Nc1cc2c3c(c(-c4ccccc4)[nH]c3c1)C=NNC2=O
333,1392,<RX_6>CC1(C)O/C(=C2/C(=O)Nc3cc(Sc4ccccc4C(=O)O)ccc32)C=C1N1CCOCC1,COC(=O)c1ccccc1Sc1ccc2c(c1)NC(=O)/C2=C1\C=C(N2CCOCC2)C(C)(C)O1,COC(=O)c1ccccc1Sc1ccc2c(c1)NC(=O)/C2=C1\C=C(N2CCOCC2)OC1(C)C
334,1394,<RX_1>CCCCCCCCCCCCCC(=O)O[C@@H]1CC[C@H](NC(=O)[C@H](OC)[C@@H]2OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]2O)C(=O)N(Cc2cccnc2)C1,CCCCCCCCCCCCCC(=O)O.CO[C@@H](C(=O)N[C@H]1CC[C@@H](O)CN(Cc2cccnc2)C1=O)[C@@H]1OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]1O,CCCCCCCCCCCCCCC(=O)O[C@@H]1CC[C@H](NC(=O)[C@H](OC)[C@@H]2OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]2O)C1=O.ClCc1cccnc1
335,1396,<RX_2>Cc1ccc(C(=O)N[C@H](C)c2ccccc2)cc1Br,C[C@@H](N)c1ccccc1.Cc1ccc(C(=O)Cl)cc1Br,C[C@H](N)c1ccccc1.Cc1ccc(C(=O)O)cc1Br
336,1401,<RX_8>O=C(CCC(F)(F)F)CCC(F)(F)F,OC(CCC(F)(F)F)CCC(F)(F)F,OC(CCC(F)(F)F)CCC(F)(F)F.[O-]Cl
337,1413,<RX_6>COc1cc2c(cc1Cl)CNC2,COc1cc2c(cc1Cl)CN(C(=O)OC(C)(C)C)C2,COc1cc2c(cc1Cl)CN(Cc1ccccc1)C2
338,1415,<RX_2>CC(=O)Nc1ccc2c(c1)C(c1ccccc1F)=NCc1cnc(C)n1-2,CC(C)[O-].Cc1ncc2n1-c1ccc(N)cc1C(c1ccccc1F)=NC2,CC(=O)OC(C)=O.Cc1ncc2n1-c1ccc(N)cc1C(c1ccccc1F)=NC2
339,1419,<RX_2>Cc1cnc(NC(=O)c2cc(Oc3ncc(C(=O)N4CCC4)cc3Cl)cc(O[C@@H](C)CO[Si](C)(C)C(C)(C)C)c2)cn1,C[C@@H](CO[Si](C)(C)C(C)(C)C)Oc1cc(Oc2ncc(C(=O)N3CCC3)cc2Cl)cc(C(=O)O)c1.Cc1cnc(N)cn1,C[C@@H](CO[Si](C)(C)C(C)(C)C)Oc1cc(Oc2ncc(C(=O)O)cc2Cl)cc(C(=O)N2CCC2)c1.Cc1cnc(N)cn1
340,1420,<RX_7>COc1ccc(-c2oc3c(CO)cc(OC)cc3c2-c2ccccc2)cc1,COc1ccc(-c2oc3c(C=O)cc(OC)cc3c2-c2ccccc2)cc1,COC(=O)c1cc(OC)cc2c(-c3ccccc3)c(-c3ccc(OC)cc3)oc12
341,1429,<RX_1>COc1ncc2ccc(=O)n(CCN3CCC(N(Cc4cc5c(cn4)OCCO5)C(=O)OC(C)(C)C)CC3)c2n1,CC(C)(C)OC(=O)N(Cc1cc2c(cn1)OCCO2)C1CCNCC1.COc1ncc2ccc(=O)n(CC=O)c2n1,CC(C)(C)OC(=O)N(Cc1cc2c(cn1)OCCO2)C1CCNCC1.COc1ncc2ccc(=O)[nH]c2n1
342,1433,<RX_1>CC1Cc2c(N3CC[C@H](NC(=O)OC(C)(C)C)C3)ccc(F)c2O1,CC(C)(C)OC(=O)N[C@H]1CCNC1.CC1Cc2c(OS(=O)(=O)C(F)(F)F)ccc(F)c2O1,CC(C)(C)OC(=O)N[C@H]1CCNC1.CC1Cc2c(F)ccc(F)c2O1
343,1434,<RX_1>C[C@@H](C(F)F)[C@H]1COC(=O)N1c1ccnc(F)n1,C[C@@H](C(F)F)[C@H]1COC(=O)N1.Fc1ccnc(F)n1,C[C@H](C(F)F)[C@H]1COC(=O)N1.Fc1nccc(Br)n1
344,1435,<RX_6>CC(C)(C)[Si](C)(C)Oc1ccc(N)c(NC(=O)OCC2CCN(c3ccncc3)CC2)c1,CC(C)(C)[Si](C)(C)Oc1ccc(N2C(=O)c3ccccc3C2=O)c(NC(=O)OCC2CCN(c3ccncc3)CC2)c1,CC(C)(C)[Si](C)(C)Oc1ccc(NC(=O)OCC2CCN(c3ccncc3)CC2)c(NC(=O)OCc2ccccc2)c1
345,1440,<RX_2>Nc1nc(C(=O)N2[C@H](CNC(=O)c3cccc4ncccc34)C[C@@H]3C[C@@H]32)c(-c2cccc(F)c2)s1,NC[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)c1nc(N)sc1-c1cccc(F)c1.O=C(O)c1cccc2ncccc12,NC[C@@H]1C[C@H]2C[C@@H]2N1.Nc1nc(C(=O)O)c(-c2cccc(F)c2)s1
346,1444,<RX_9>Nc1nc2ccccc2c2c1nc(O)n2Cc1cccnc1,N.Oc1nc2c(Cl)nc3ccccc3c2n1Cc1cccnc1,N.O=Cc1cccnc1-n1c(O)nc2c(Cl)nc3ccccc3c21
347,1445,<RX_7>O=c1[nH]c2ccccc2c2c(CCO)n(-c3ccccc3)nc12,CCOC(=O)Cc1c2c(nn1-c1ccccc1)c(=O)[nH]c1ccccc12,
348,1448,<RX_6>CC(C)(C)[Si](C)(C)OC[C@H](Oc1ccc(Cl)cn1)[C@H]1CNC[C@@H]1c1ccc(Cl)c(Cl)c1,CC(C)(C)[Si](C)(C)OC[C@H](Oc1ccc(Cl)cn1)[C@H]1CN(Cc2ccccc2)C[C@@H]1c1ccc(Cl)c(Cl)c1,CC(C)(C)OC(=O)N1C[C@H](c2ccc(Cl)c(Cl)c2)[C@H]([C@@H](CO[Si](C)(C)C(C)(C)C)Oc2ccc(Cl)cn2)C1
349,1449,<RX_1>Fc1ccc(OC[C@H]2C[C@H]3CN(c4cncc(Cl)n4)CCN3C2)cc1,Clc1cncc(Cl)n1.Fc1ccc(OCC2CC3CNCCN3C2)cc1,Clc1cncc(Cl)n1.Fc1ccc(OC[C@H]2C[C@H]3CNCCN3C2)cc1
350,1459,<RX_1>COC(=O)[C@H](OCc1ccccc1)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,BrCc1ccccc1.COC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,COC(=O)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C.ClCc1ccccc1
351,1461,<RX_6>CCOC(=O)c1nn(-c2ccccc2)c2c1CSc1ccc(C(=O)O)cc1-2,CCOC(=O)c1nn(-c2ccccc2)c2c1CSc1ccc(C(=O)OC(C)(C)C)cc1-2,CCOC(=O)c1nn(-c2ccccc2)c2c1CSc1ccc(C(=O)OC)cc1-2
352,1465,<RX_7>COc1ccc(CCC2CC=C(CCC=C(C)C)CC2)cc1,COc1ccc(C(=O)CC2CC=C(CCC=C(C)C)CC2)cc1,COc1ccc(C#CCC2CC=C(CCC=C(C)C)CC2)cc1
353,1471,<RX_7>CC1(C)O[C@H]2[C@H](n3cnc4c(N)ncc(F)c43)C(F)C[C@H]2O1,CC1(C)O[C@H]2[C@H](n3cnc4c(N)ncc(F)c43)C(F)=C[C@H]2O1,CC1(C)O[C@H]2CC(F)[C@@H](n3cnc4c(N)ncc(F)c43)[C@H]2O1
354,1479,<RX_3>NC1=N[C@@]2(CCO1)c1cc(N)ccc1Oc1c2cc(C2=CCCOC2)nc1F,CC1(C)OB(C2=CCCOC2)OC1(C)C.NC1=N[C@@]2(CCO1)c1cc(N)ccc1Oc1c2cc(Cl)nc1F,NC1=N[C@@]2(CCO1)c1cc(N)ccc1Oc1c2cc(Br)nc1F.OB(O)C1=CCCOC1
355,1480,<RX_1>COc1cnc2c(Nc3ccc(F)c([C@]4(C)CS(=O)(=O)C5(CC5)C(N)=N4)c3)nccc2c1,COc1cnc2c(N)nccc2c1.C[C@@]1(c2cc(Br)ccc2F)CS(=O)(=O)C2(CC2)C(N)=N1,COc1cnc2c(Cl)nccc2c1.C[C@]1(c2cc(N)ccc2F)CS(=O)(=O)C2(CC2)C(N)=N1
356,1482,<RX_2>C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](CO)CN1C(=O)COc1ccc(Cl)cc1,C[C@H]1CN(Cc2ccc(F)cc2)[C@@H](CO)CN1.O=C(Cl)COc1ccc(Cl)cc1,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](CO)CN1.O=C(O)COc1ccc(Cl)cc1
357,1483,<RX_6>CCN(CC)CCn1nc2c3ccc(O)cc3sc3c(N)ccc1c32,CCN(CC)CCn1nc2c3ccc(OC)cc3sc3c(N)ccc1c32,
358,1484,<RX_2>C=Cn1c2ccccc2c2ccccc21,C=CO.O=C(Cl)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,C=Cn1c2ccccc2c2ccccc21.CC(=O)Cl
359,1485,<RX_2>O=C(Cc1c(Cl)cccc1Cl)NC[C@H]1O[C@@H](n2cc(CCCl)c(=O)[nH]c2=O)C[C@@H]1O,NC[C@H]1O[C@@H](n2cc(CCCl)c(=O)[nH]c2=O)C[C@@H]1O.O=C(Cl)Cc1c(Cl)cccc1Cl,NC[C@H]1O[C@@H](n2cc(CCCl)c(=O)[nH]c2=O)C[C@@H]1O.O=C(O)Cc1c(Cl)cccc1Cl
360,1487,<RX_2>COc1ccc(S(=O)(=O)Nc2cccc3c2Nc2ccccc2CN3C(C)=O)cc1,CC(=O)OC(C)=O.COc1ccc(S(=O)(=O)Nc2cccc3c2Nc2ccccc2CN3)cc1,CC(=O)N1Cc2ccccc2Nc2c(N)cccc21.COc1ccc(S(=O)(=O)Cl)cc1
361,1493,<RX_3>CCOC(=O)c1cc(-c2ncc(F)c3c(C(=O)C(=O)N4CCN(c5nnnn5-c5ccccc5)CC4)c[nH]c23)n[nH]1,CCCC[Sn](CCCC)(CCCC)c1cc(C(=O)OCC)[nH]n1.O=C(C(=O)N1CCN(c2nnnn2-c2ccccc2)CC1)c1c[nH]c2c(Br)ncc(F)c12,CCOC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)n[nH]1.O=C(C(=O)N1CCN(c2nnnn2-c2ccccc2)CC1)c1c[nH]c2c(Br)ncc(F)c12
362,1494,<RX_1>Clc1ccc(Nc2nc(Cl)nc(Nc3ccccc3)n2)cc1,Clc1ccc(Nc2nc(Cl)nc(Cl)n2)cc1.Nc1ccccc1,Clc1nc(Cl)nc(Nc2ccccc2)n1.Nc1ccc(Cl)cc1
363,1497,<RX_1>CCC1(CO)CS(=O)(=O)c2ccccc2C(c2ccccc2)=N1,CCC(N)(CO)CS(=O)(=O)c1ccccc1C(=O)c1ccccc1,
364,1498,<RX_1>CCCCCCCCOc1ccc(-c2ncc(OCCCCCCCCC3CC3)cn2)cn1,BrCCCCCCCCC1CC1.CCCCCCCCOc1ccc(-c2ncc(O)cn2)cn1,CCCCCCCCCCOc1ccc(-c2ncc(Br)cn2)cn1.OCCCCCCCCCC1CC1
365,1499,<RX_1>CN1CCN(S(=O)(=O)CCCOc2ccc3c(c2)N=C(NC(=O)c2cccnc2)N2CCN=C32)CC1,CN1CCN(S(=O)(=O)CCCCl)CC1.O=C(NC1=Nc2cc(O)ccc2C2=NCCN12)c1cccnc1,CN1CCN(S(=O)(=O)CCCO)CC1.O=C(NC1=Nc2cc(O)ccc2C2=NCCN12)c1cccnc1
366,1501,<RX_1>O=S(=O)(Cc1nc(-c2ccccc2)no1)c1ccccc1,ClCc1nc(-c2ccccc2)no1.O=S([O-])c1ccccc1,O=S(=O)(Cc1nc(-c2ccccc2)no1)c1ccccc1.O=S([O-])c1ccccc1
367,1506,<RX_2>C/C=C/C1=CN2C(=O)c3cc(OC)c(OCCCOc4cc5c(cc4OC)C(=O)N4C=C(/C=C/CNC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCNC(=O)CI)C(C)C)C[C@H]4C=N5)cc3N=C[C@@H]2C1,C/C=C/C1=CN2C(=O)c3cc(OC)c(OCCCOc4cc5c(cc4OC)C(=O)N4C=C(/C=C/CNC(=O)[C@H](C)NC(=O)[C@@H](N)C(C)C)C[C@H]4C=N5)cc3N=C[C@@H]2C1.O=C(O)CCOCCOCCOCCOCCNC(=O)CI,
368,1511,<RX_6>CC(C)(C)SSC[C@@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)O,CC(C)(C)SSC[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CSSC(C)(C)C)C(=O)O
369,1512,<RX_3>CCOC(=O)C[C@H](Cc1cc(C)c2[nH]ncc2c1COC(C)=O)C(=O)OCC,CCOC(=O)C[C@H](Cc1cc(Br)c2[nH]ncc2c1COC(C)=O)C(=O)OCC.C[Sn](C)(C)C,
370,1513,<RX_7>O=S([O-])([O-])=[SH]Cc1ccc(O)cc1,CC(=O)Oc1ccc(C[SH]=S(=O)([O-])[O-])cc1,
371,1518,<RX_2>COC(=O)CC(c1ccc(O)cc1)C1CC1,CCOC(C)=O.O=C(O)CC(c1ccc(O)cc1)C1CC1,CO.O=C(O)CC(c1ccc(O)cc1)C1CC1
372,1519,<RX_3>CN(C)c1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccc(/C=C/C(C)(C)C)cc2n1,CC(C)(C)/C=C/B(O)O.CN(C)c1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccc(I)cc2n1,C=CC(C)(C)C.CN(C)c1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccc(Br)cc2n1
373,1520,<RX_3>CCOC(=O)c1c(-c2ccc(C(C)CNS(=O)(=O)C(C)C)cc2)c(C#N)c(CC)n1C,CC(CNS(=O)(=O)C(C)C)c1ccc(I)cc1.CCOC(=O)c1c(B2OC(C)(C)C(C)(C)O2)c(C#N)c(CC)n1C,CC(CNS(=O)(=O)C(C)C)c1ccc(Br)cc1.CCOC(=O)c1c(B2OC(C)(C)C(C)(C)O2)c(C#N)c(CC)n1C
374,1521,<RX_4>OC[C@@H]1O[C@H]1c1cccc(Br)c1,O=C(OO)c1cccc(Cl)c1.OC/C=C/c1cccc(Br)c1,O=Cc1cccc(Br)c1.OCC=Cc1cccc(Br)c1
375,1525,<RX_7>c1ccc(CC2c3ccccc3Sc3ccccc32)cc1,C(=C1c2ccccc2Sc2ccccc21)c1ccccc1,O=c1c2ccccc2sc2ccccc12
376,1529,<RX_1>CCOC(=O)Cn1ncc(N[C@@H]2C[C@@H]3C[C@H]([C@H]2C)C3(C)C)c(Br)c1=O,CCOC(=O)CBr.C[C@H]1[C@H](Nc2cn[nH]c(=O)c2Br)C[C@@H]2C[C@H]1C2(C)C,CCOC(=O)Cn1ncc(Br)c(Br)c1=O.C[C@@H]1[C@H](N)C[C@@H]2C[C@H]1C2(C)C
377,1534,<RX_7>CC(C)Oc1ccc(C#Cc2ccccc2)cc1C(=O)NC(C)(CO)Cc1c[nH]c2ccccc12,COC(=O)C(C)(Cc1c[nH]c2ccccc12)NC(=O)c1cc(C#Cc2ccccc2)ccc1OC(C)C,CC(C)Oc1ccc(C#Cc2ccccc2)cc1C(=O)NC(C)(C)Cc1c[nH]c2ccccc12
378,1535,<RX_2>Cc1cc(-c2ccccc2)n2nc(C(=O)N(C)C3CCCCC3)cc2n1,CNC1CCCCC1.COC(=O)c1cc2nc(C)cc(-c3ccccc3)n2n1,CNC1CCCCC1.Cc1cc(-c2ccccc2)n2nc(C(=O)O)cc2n1
379,1548,<RX_1>COc1ccc(CN2CCc3nn(C)c4nc(SC)nc2c34)cc1,CI.COc1ccc(CN2CCc3n[nH]c4nc(SC)nc2c34)cc1,COc1ccc(CCl)cc1.CSc1nc2c3c(nn(C)c-2n1)CCN3
380,1550,<RX_6>CC(C)(C)OC(=O)C1CC(S(C)(=O)=O)C(c2ccccc2F)N1C(=O)CNC(=O)Nc1cccc(C(=O)O)c1,CC(C)(C)OC(=O)C1CC(S(C)(=O)=O)C(c2ccccc2F)N1C(=O)CNC(=O)Nc1cccc(C(=O)OCc2ccccc2)c1,COC(=O)c1cccc(NC(=O)NCC(=O)N2C(C(=O)OC(C)(C)C)CC(S(C)(=O)=O)C2c2ccccc2F)c1
381,1552,<RX_2>O=C1Cc2ccccc2N1c1c(Cl)cccc1Cl,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,O=C(Cl)Cc1ccccc1Nc1c(Cl)cccc1Cl
382,1557,<RX_7>COc1cccc([C@H]2O[C@H](CCO)c3ccc(CC(C)C)n3-c3ccc(Cl)cc32)c1OC,COC(=O)CC1OC(c2cccc(OC)c2OC)c2cc(Cl)ccc2-n2c(CC(C)C)ccc21,COC(=O)CC1O[C@H](c2cccc(OC)c2OC)c2cc(Cl)ccc2-n2c(CC(C)C)ccc21
383,1562,<RX_2>CCCCCCCCS(=O)(=O)OC[C@@](C)(O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](COC)NC(=O)[C@H](COC)NC(=O)c1cnc(C)s1,CCCCCCCCS(=O)(=O)Cl.COC[C@H](NC(=O)c1cnc(C)s1)C(=O)N[C@@H](COC)C(=O)N[C@@H](Cc1ccccc1)C(=O)[C@](C)(O)CO,CCCCCCCCS(=O)(=O)OC[C@@](C)(O)C(=O)[C@H](N)Cc1ccccc1.COC[C@H](NC(=O)[C@H](COC)NC(=O)c1cnc(C)s1)C(=O)O
384,1563,<RX_3>CC1CC(c2ccc3ccccc3c2)=CCN1C(=O)Oc1ccccc1,CC1CC(OS(=O)(=O)C(F)(F)F)=CCN1C(=O)Oc1ccccc1.OB(O)c1ccc2ccccc2c1,
385,1567,<RX_1>O=C1C(O)CC(c2c(F)cccc2OCCF)N1Cc1ccc(OC(F)(F)F)cc1,FCCI.O=C1C(O)CC(c2c(O)cccc2F)N1Cc1ccc(OC(F)(F)F)cc1,FCCOc1ccc(CBr)cc1.O=C1NC(c2c(O)cccc2F)CC1O
386,1568,<RX_1>CC(C)(C)OC(=O)N1CCC(COCc2ccccc2)CC1,BrCc1ccccc1.CC(C)(C)OC(=O)N1CCC(CO)CC1,CC(C)(C)OC(=O)N1CCC(CO)CC1.ClCc1ccccc1
387,1572,<RX_1>CCCc1c(OCCOCCOCCOc2c(C(C)=O)ccc(OCCCC(=O)OCC)c2CCC)ccc(C(C)=O)c1O,CCCc1c(O)ccc(C(C)=O)c1O.CCCc1c(OCCCC(=O)OCC)ccc(C(C)=O)c1OCCOCCOCCOS(C)(=O)=O,CCCc1c(OCCCC(=O)OCC)ccc(O)c1O.CCCc1c(OCCOCCOCCO)ccc(C(C)=O)c1O
388,1576,<RX_9>Nc1cc(Oc2ccc(NC(=O)Nc3cc(CN4CCC4)cc(C(F)(F)F)c3)cc2)ncn1,[N-]=[N+]=Nc1cc(Oc2ccc(NC(=O)Nc3cc(CN4CCC4)cc(C(F)(F)F)c3)cc2)ncn1,
389,1584,<RX_1>Cc1c(Nc2ccccc2)cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c12,Cc1c(N)cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c12.OB(O)c1ccccc1,Cc1c(Nc2ccccc2)cn2ncc(C#N)c(Cl)c12.Nc1ccc(Oc2ccccc2)cc1
390,1585,<RX_9>COc1ccc(OC(F)(F)F)c(B2OC(C)(C)C(C)(C)O2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COc1ccc(OC(F)(F)F)c(Cl)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COc1ccc(OC(F)(F)F)c(Br)c1
391,1589,<RX_6>CC1(C)COC(c2ccc(OCCCC3CCNCC3)cc2)=N1,CC1(C)COC(c2ccc(OCCCC3CCN(Cc4ccccc4)CC3)cc2)=N1,CC1(C)COC(c2ccc(OCCCC3CCN(C(=O)OC(C)(C)C)CC3)cc2)=N1
392,1590,<RX_1>C[C@H](Cc1ccc(S(=O)(=O)c2ccc(Oc3ccccc3)cc2C=O)cc1)NC(=O)C(F)(F)F,C[C@H](Cc1ccc(S(=O)(=O)c2ccc(F)cc2C=O)cc1)NC(=O)C(F)(F)F.Oc1ccccc1,C[C@H](Cc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1)NC(=O)C(F)(F)F.O=Cc1cc(O)ccc1S(=O)(=O)c1ccccc1
393,1594,<RX_6>Nc1cnc(-c2ccccn2)nc1O,O=C(Nc1cnc(-c2ccccn2)nc1O)OCc1ccccc1,CC(=O)Nc1cnc(-c2ccccn2)nc1O
394,1595,<RX_7>COc1cc(CO)cc2c1OCO2,COC(=O)c1cc(OC)c2c(c1)OCO2,COc1cc(C(=O)O)cc2c1OCO2
395,1613,<RX_6>O=C(O)c1cc(C2CC2)c(OCC2CCN(C(c3ccc(F)c(Cl)c3)C(F)(F)F)CC2)cc1F,CC(C)(C)OC(=O)c1cc(C2CC2)c(OCC2CCN(C(c3ccc(F)c(Cl)c3)C(F)(F)F)CC2)cc1F,COC(=O)c1cc(C2CC2)c(OCC2CCN(C(c3ccc(F)c(Cl)c3)C(F)(F)F)CC2)cc1F
